valor_actual,valor_optimo,iteracion,modelo
0.48,-inf,0,Tabu
0.41754474615645376,0.41754474615645376,1,Tabu
0.4749680390676661,0.4749680390676661,2,Tabu
0.472312044856784,0.4749680390676661,3,Tabu
0.4573612807731184,0.4749680390676661,4,Tabu
0.5055927865807373,0.5055927865807373,5,Tabu
0.4626785823703618,0.5055927865807373,6,Tabu
0.4558978232308705,0.5055927865807373,7,Tabu
0.4205824870766042,0.5055927865807373,8,Tabu
0.4520717184860748,0.5055927865807373,9,Tabu
0.48059172127246075,0.5055927865807373,10,Tabu
0.4369009096693291,0.5055927865807373,11,Tabu
0.40852437974243155,0.5055927865807373,12,Tabu
0.4125163855528593,0.5055927865807373,13,Tabu
0.41853164642952895,0.5055927865807373,14,Tabu
0.41823985287612603,0.5055927865807373,15,Tabu
0.48079248936897134,0.5055927865807373,16,Tabu
0.507266550878436,0.507266550878436,17,Tabu
0.5044303915160822,0.507266550878436,18,Tabu
0.5018375301930127,0.507266550878436,19,Tabu
0.4937983326185438,0.507266550878436,20,Tabu
0.4519062925196028,0.507266550878436,21,Tabu
0.5064398850973433,0.507266550878436,22,Tabu
0.5027541028348639,0.507266550878436,23,Tabu
0.499986302389778,0.507266550878436,24,Tabu
0.46943174227406514,0.507266550878436,25,Tabu
0.5122867669688408,0.5122867669688408,26,Tabu
0.4642928326630026,0.5122867669688408,27,Tabu
0.4443955716441559,0.5122867669688408,28,Tabu
0.4457266245866979,0.5122867669688408,29,Tabu
0.3852219562674159,0.5122867669688408,30,Tabu
0.37571563218082044,0.5122867669688408,31,Tabu
0.35737787639556035,0.5122867669688408,32,Tabu
0.265343473376447,0.5122867669688408,33,Tabu
0.24889735859207987,0.5122867669688408,34,Tabu
0.2414486846935359,0.5122867669688408,35,Tabu
0.2117492086677072,0.5122867669688408,36,Tabu
0.22196049832544662,0.5122867669688408,37,Tabu
0.232126136729114,0.5122867669688408,38,Tabu
0.20975193480762566,0.5122867669688408,39,Tabu
0.18103222363218227,0.5122867669688408,40,Tabu
0.2043234901219934,0.5122867669688408,41,Tabu
0.22397898285775808,0.5122867669688408,42,Tabu
0.22784439616013025,0.5122867669688408,43,Tabu
0.15962226039868657,0.5122867669688408,44,Tabu
0.11313944672719184,0.5122867669688408,45,Tabu
0.08764961487312886,0.5122867669688408,46,Tabu
0.07200032801661792,0.5122867669688408,47,Tabu
0.07768940116853842,0.5122867669688408,48,Tabu
0.12990157538698605,0.5122867669688408,49,Tabu
0.1454499521078464,0.5122867669688408,50,Tabu
0.13027904892414727,0.5122867669688408,51,Tabu
0.1864453839410285,0.5122867669688408,52,Tabu
0.15900162428783476,0.5122867669688408,53,Tabu
0.20386623533400208,0.5122867669688408,54,Tabu
0.18208047605184152,0.5122867669688408,55,Tabu
0.2056568599914308,0.5122867669688408,56,Tabu
0.24540839655379146,0.5122867669688408,57,Tabu
0.25274711103604697,0.5122867669688408,58,Tabu
0.25576521911377004,0.5122867669688408,59,Tabu
0.3006142746808066,0.5122867669688408,60,Tabu
0.27280162805727026,0.5122867669688408,61,Tabu
0.2848843901572836,0.5122867669688408,62,Tabu
0.23534619427127335,0.5122867669688408,63,Tabu
0.2556892788065172,0.5122867669688408,64,Tabu
0.2834941912505381,0.5122867669688408,65,Tabu
0.28780470858910634,0.5122867669688408,66,Tabu
0.3286077655118036,0.5122867669688408,67,Tabu
0.34699568241435313,0.5122867669688408,68,Tabu
0.33664511496135624,0.5122867669688408,69,Tabu
0.2936776697766377,0.5122867669688408,70,Tabu
0.3291080344420262,0.5122867669688408,71,Tabu
0.3502223432618534,0.5122867669688408,72,Tabu
0.3522231864530243,0.5122867669688408,73,Tabu
0.35568576558620846,0.5122867669688408,74,Tabu
0.3970241558719892,0.5122867669688408,75,Tabu
0.403081063683488,0.5122867669688408,76,Tabu
0.37344233383889114,0.5122867669688408,77,Tabu
0.37886143037346465,0.5122867669688408,78,Tabu
0.35830347152322006,0.5122867669688408,79,Tabu
0.36645599161722037,0.5122867669688408,80,Tabu
0.31882458795978763,0.5122867669688408,81,Tabu
0.30570486413352604,0.5122867669688408,82,Tabu
0.3445957693985885,0.5122867669688408,83,Tabu
0.375715236939415,0.5122867669688408,84,Tabu
0.33894993384734995,0.5122867669688408,85,Tabu
0.34019696313133263,0.5122867669688408,86,Tabu
0.370538726655763,0.5122867669688408,87,Tabu
0.37392326089118194,0.5122867669688408,88,Tabu
0.4370566371313164,0.5122867669688408,89,Tabu
0.4640848263602416,0.5122867669688408,90,Tabu
0.43712947921058737,0.5122867669688408,91,Tabu
0.39329399036196866,0.5122867669688408,92,Tabu
0.4146098154762125,0.5122867669688408,93,Tabu
0.4178890425290462,0.5122867669688408,94,Tabu
0.4014772904742987,0.5122867669688408,95,Tabu
0.3801893090383062,0.5122867669688408,96,Tabu
0.3805219230749003,0.5122867669688408,97,Tabu
0.3881124390196341,0.5122867669688408,98,Tabu
0.37175449375299807,0.5122867669688408,99,Tabu
