valor_actual,valor_optimo,iteracion,modelo
0.6,0.6,0,Busqueda Local
0.6015948072826278,0.6015948072826278,1,Busqueda Local
0.6023933281581549,0.6023933281581549,2,Busqueda Local
0.6314489996707316,0.6314489996707316,3,Busqueda Local
0.6314489996707316,0.6314489996707316,4,Busqueda Local
0.6314489996707316,0.6314489996707316,5,Busqueda Local
0.6314489996707316,0.6314489996707316,6,Busqueda Local
0.6314489996707316,0.6314489996707316,7,Busqueda Local
0.6430638800544671,0.6430638800544671,8,Busqueda Local
0.6430638800544671,0.6430638800544671,9,Busqueda Local
0.6430638800544671,0.6430638800544671,10,Busqueda Local
0.6430638800544671,0.6430638800544671,11,Busqueda Local
0.6430638800544671,0.6430638800544671,12,Busqueda Local
0.6765158336136123,0.6765158336136123,13,Busqueda Local
0.6765158336136123,0.6765158336136123,14,Busqueda Local
0.692676844726982,0.692676844726982,15,Busqueda Local
0.6943318426302278,0.6943318426302278,16,Busqueda Local
0.6943318426302278,0.6943318426302278,17,Busqueda Local
0.7319172295933262,0.7319172295933262,18,Busqueda Local
0.7319172295933262,0.7319172295933262,19,Busqueda Local
0.7488700405253245,0.7488700405253245,20,Busqueda Local
0.7946940964058994,0.7946940964058994,21,Busqueda Local
0.82244597203455,0.82244597203455,22,Busqueda Local
0.82244597203455,0.82244597203455,23,Busqueda Local
0.8435533266529183,0.8435533266529183,24,Busqueda Local
0.8435533266529183,0.8435533266529183,25,Busqueda Local
0.8435533266529183,0.8435533266529183,26,Busqueda Local
0.8435533266529183,0.8435533266529183,27,Busqueda Local
0.8435533266529183,0.8435533266529183,28,Busqueda Local
0.8435533266529183,0.8435533266529183,29,Busqueda Local
0.8435533266529183,0.8435533266529183,30,Busqueda Local
0.8448650016407544,0.8448650016407544,31,Busqueda Local
0.8448650016407544,0.8448650016407544,32,Busqueda Local
0.8448650016407544,0.8448650016407544,33,Busqueda Local
0.8448650016407544,0.8448650016407544,34,Busqueda Local
0.8796119300983174,0.8796119300983174,35,Busqueda Local
0.8796119300983174,0.8796119300983174,36,Busqueda Local
0.8846054435251702,0.8846054435251702,37,Busqueda Local
0.8846054435251702,0.8846054435251702,38,Busqueda Local
0.9008573528950907,0.9008573528950907,39,Busqueda Local
0.9008573528950907,0.9008573528950907,40,Busqueda Local
0.9034566167249165,0.9034566167249165,41,Busqueda Local
0.9034566167249165,0.9034566167249165,42,Busqueda Local
0.9034566167249165,0.9034566167249165,43,Busqueda Local
0.9034566167249165,0.9034566167249165,44,Busqueda Local
0.9329223237908164,0.9329223237908164,45,Busqueda Local
0.9355380628139254,0.9355380628139254,46,Busqueda Local
0.9355380628139254,0.9355380628139254,47,Busqueda Local
0.936561870499827,0.936561870499827,48,Busqueda Local
0.936561870499827,0.936561870499827,49,Busqueda Local
