valor_actual,valor_optimo,iteracion,modelo
0.48,0.48987935935125987,0,ILS
0.5288668457959369,0.48987935935125987,1,ILS
0.5288668457959369,0.5288668457959369,2,ILS
0.6116590230527065,0.5288668457959369,3,ILS
0.4821135959373395,0.6116590230527065,4,ILS
0.5923689252968042,0.6116590230527065,5,ILS
0.6000000000000001,0.6116590230527065,6,ILS
0.6178819669214519,0.6116590230527065,7,ILS
0.5806135713814415,0.6178819669214519,8,ILS
0.5800209098131189,0.6178819669214519,9,ILS
0.5806135713814415,0.6178819669214519,10,ILS
0.6052761367045216,0.6178819669214519,11,ILS
0.5611406765845954,0.6178819669214519,12,ILS
0.5808163536362314,0.6178819669214519,13,ILS
0.6372683955400104,0.6178819669214519,14,ILS
0.6170516886544861,0.6372683955400104,15,ILS
0.6372683955400104,0.6372683955400104,16,ILS
0.615278792995421,0.6372683955400104,17,ILS
0.6140935077477171,0.6372683955400104,18,ILS
0.6579796905388617,0.6372683955400104,19,ILS
0.6000000000000001,0.6579796905388617,20,ILS
